DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[56].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[57].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[58].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[59].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[60].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[61].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[62].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[63].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[64].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[65].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[66].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[67].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[68].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[69].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[70].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
